time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:0.038	cache_status:HIT
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:404	responsetime:0.011	cache_status:MISS
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:500	responsetime:1.018	cache_status:HIT
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:303	responsetime:2.018	cache_status:BYPASS
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:0.033	cache_status:-
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:0.014	cache_status:HIT
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:0.118	cache_status:MISS
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:4.018	cache_status:-
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:0.318	cache_status:BYPASS
time:08/Mar/2017:14:12:40 +0900	host:192.0.2.17	http_status:200	responsetime:0.018	cache_status:HIT
